"FLoanOriginationYear","FBorrowerAPR","FDebtToIncomeRatio","FProsperGainRate","LoanOriginalAmount"
"2006","0.1","0.1","0",606509
"2006","0.1","0.1","0.01",1997858
"2006","0.1","0.1","0.02",53100
"2006","0.1","0.1","0.04",1000
"2006","0.1","0.2","0",589304
"2006","0.1","0.2","0.01",1861810
"2006","0.1","0.2","0.02",59113
"2006","0.1","0.3","0",116526
"2006","0.1","0.3","0.01",560979
"2006","0.1","0.3","0.02",5000
"2006","0.1","0.4","0",39800
"2006","0.1","0.4","0.01",187900
"2006","0.1","0.4","0.02",18000
"2006","0.1","0.5","0",7200
"2006","0.1","0.5","0.01",99720
"2006","0.1","0.6","0",35000
"2006","0.1","0.6","0.01",16000
"2006","0.2","0.1","0",166526
"2006","0.2","0.1","0.01",1627977
"2006","0.2","0.1","0.02",256404
"2006","0.2","0.1","0.03",34338
"2006","0.2","0.1","0.04",10150
"2006","0.2","0.1","0.06",1000
"2006","0.2","0.2","0",221149
"2006","0.2","0.2","0.01",2190611
"2006","0.2","0.2","0.02",208233
"2006","0.2","0.2","0.03",72852
"2006","0.2","0.2","0.04",16551
"2006","0.2","0.3","0",71402
"2006","0.2","0.3","0.01",969162
"2006","0.2","0.3","0.02",146802
"2006","0.2","0.3","0.03",13501
"2006","0.2","0.3","0.06",1000
"2006","0.2","0.4","0",36750
"2006","0.2","0.4","0.01",642243
"2006","0.2","0.4","0.02",66627
"2006","0.2","0.4","0.03",3000
"2006","0.2","0.4","0.04",1000
"2006","0.2","0.4","0.05",1000
"2006","0.2","0.5","0",5350
"2006","0.2","0.5","0.01",196002
"2006","0.2","0.5","0.02",37500
"2006","0.2","0.6","0",48002
"2006","0.2","0.6","0.01",100551
"2006","0.2","0.6","0.02",3000
"2006","0.3","0.1","0",11550
"2006","0.3","0.1","0.01",385836
"2006","0.3","0.1","0.02",103801
"2006","0.3","0.1","0.03",39768
"2006","0.3","0.1","0.04",28601
"2006","0.3","0.1","0.05",3550
"2006","0.3","0.2","0",15705
"2006","0.3","0.2","0.01",444150
"2006","0.3","0.2","0.02",85047
"2006","0.3","0.2","0.03",22470
"2006","0.3","0.2","0.04",2000
"2006","0.3","0.2","0.05",2000
"2006","0.3","0.3","0",2000
"2006","0.3","0.3","0.01",236942
"2006","0.3","0.3","0.02",37366
"2006","0.3","0.3","0.03",9550
"2006","0.3","0.3","0.04",2550
"2006","0.3","0.3","0.05",1000
"2006","0.3","0.4","0",2550
"2006","0.3","0.4","0.01",168175
"2006","0.3","0.4","0.02",62350
"2006","0.3","0.4","0.03",32900
"2006","0.3","0.4","0.04",2600
"2006","0.3","0.5","0",1000
"2006","0.3","0.5","0.01",53592
"2006","0.3","0.5","0.02",26000
"2006","0.3","0.6","0.01",59050
"2006","0.3","0.6","0.02",10001
"2006","0.4","0.1","0.01",3000
"2006","0.4","0.2","0",3001
"2006","0.4","0.2","0.01",5000
"2006","0.4","0.2","0.03",5000
"2006","0.4","0.3","0.01",3001
"2007","0.1","0.1","0",1537681
"2007","0.1","0.1","0.01",3933293
"2007","0.1","0.1","0.02",291224
"2007","0.1","0.1","0.03",21100
"2007","0.1","0.2","0",1553758
"2007","0.1","0.2","0.01",5715984
"2007","0.1","0.2","0.02",522063
"2007","0.1","0.2","0.03",44500
"2007","0.1","0.2","0.04",1200
"2007","0.1","0.3","0",588056
"2007","0.1","0.3","0.01",2635435
"2007","0.1","0.3","0.02",273300
"2007","0.1","0.3","0.03",2500
"2007","0.1","0.4","0",384525
"2007","0.1","0.4","0.01",1736464
"2007","0.1","0.4","0.02",151617
"2007","0.1","0.5","0",79000
"2007","0.1","0.5","0.01",611488
"2007","0.1","0.5","0.02",61200
"2007","0.1","0.6","0",31800
"2007","0.1","0.6","0.01",203915
"2007","0.1","0.6","0.02",17600
"2007","0.2","0.1","0",63001
"2007","0.2","0.1","0.01",2297653
"2007","0.2","0.1","0.02",497211
"2007","0.2","0.1","0.03",114864
"2007","0.2","0.1","0.04",19997
"2007","0.2","0.2","0",123500
"2007","0.2","0.2","0.01",4919877
"2007","0.2","0.2","0.02",1224945
"2007","0.2","0.2","0.03",212675
"2007","0.2","0.2","0.04",34135
"2007","0.2","0.3","0",15000
"2007","0.2","0.3","0.01",2525556
"2007","0.2","0.3","0.02",847229
"2007","0.2","0.3","0.03",116828
"2007","0.2","0.3","0.04",1500
"2007","0.2","0.4","0",117500
"2007","0.2","0.4","0.01",1980850
"2007","0.2","0.4","0.02",563357
"2007","0.2","0.4","0.03",125601
"2007","0.2","0.4","0.04",1000
"2007","0.2","0.5","0",15000
"2007","0.2","0.5","0.01",747250
"2007","0.2","0.5","0.02",227476
"2007","0.2","0.5","0.03",18300
"2007","0.2","0.6","0",29000
"2007","0.2","0.6","0.01",350620
"2007","0.2","0.6","0.02",111871
"2007","0.2","0.6","0.03",5000
"2007","0.3","0.1","0.01",441049
"2007","0.3","0.1","0.02",123194
"2007","0.3","0.1","0.03",83152
"2007","0.3","0.1","0.04",34601
"2007","0.3","0.1","0.05",2000
"2007","0.3","0.2","0.01",623133
"2007","0.3","0.2","0.02",240373
"2007","0.3","0.2","0.03",111450
"2007","0.3","0.2","0.04",19961
"2007","0.3","0.2","0.05",5075
"2007","0.3","0.3","0",2550
"2007","0.3","0.3","0.01",396155
"2007","0.3","0.3","0.02",63800
"2007","0.3","0.3","0.03",53700
"2007","0.3","0.3","0.04",29901
"2007","0.3","0.4","0.01",257182
"2007","0.3","0.4","0.02",98500
"2007","0.3","0.4","0.03",62101
"2007","0.3","0.4","0.04",2750
"2007","0.3","0.5","0.01",168631
"2007","0.3","0.5","0.02",54500
"2007","0.3","0.5","0.03",7550
"2007","0.3","0.5","0.05",4300
"2007","0.3","0.6","0.01",86651
"2007","0.3","0.6","0.02",10499
"2007","0.3","0.6","0.03",20000
"2007","0.4","0.1","0.01",38997
"2007","0.4","0.1","0.02",4000
"2007","0.4","0.2","0.01",31703
"2007","0.4","0.3","0.01",1000
"2007","0.4","0.4","0.01",7999
"2007","0.4","0.6","0.01",4000
"2008","0.1","0.1","0",1207564
"2008","0.1","0.1","0.01",3866574
"2008","0.1","0.1","0.02",2000
"2008","0.1","0.2","0",1175228
"2008","0.1","0.2","0.01",5581553
"2008","0.1","0.2","0.02",23999
"2008","0.1","0.3","0",761172
"2008","0.1","0.3","0.01",3023669
"2008","0.1","0.3","0.02",13000
"2008","0.1","0.4","0",426500
"2008","0.1","0.4","0.01",1319380
"2008","0.1","0.4","0.02",1000
"2008","0.1","0.5","0",24100
"2008","0.1","0.5","0.01",176671
"2008","0.1","0.5","0.02",5000
"2008","0.1","0.6","0",52000
"2008","0.1","0.6","0.01",96800
"2008","0.2","0.1","0",40000
"2008","0.2","0.1","0.01",2684679
"2008","0.2","0.1","0.02",17800
"2008","0.2","0.2","0",101700
"2008","0.2","0.2","0.01",5844835
"2008","0.2","0.2","0.02",93700
"2008","0.2","0.3","0",50000
"2008","0.2","0.3","0.01",4135632
"2008","0.2","0.3","0.02",52850
"2008","0.2","0.4","0.01",3062297
"2008","0.2","0.4","0.02",34300
"2008","0.2","0.5","0",39000
"2008","0.2","0.5","0.01",800004
"2008","0.2","0.6","0.01",483725
"2008","0.3","0.1","0.01",472224
"2008","0.3","0.1","0.02",18000
"2008","0.3","0.2","0.01",1074188
"2008","0.3","0.2","0.02",1000
"2008","0.3","0.3","0.01",628406
"2008","0.3","0.3","0.02",43000
"2008","0.3","0.4","0.01",515619
"2008","0.3","0.5","0.01",210638
"2008","0.3","0.6","0.01",150050
"2008","0.4","0.1","0.01",331548
"2008","0.4","0.2","0.01",504985
"2008","0.4","0.2","0.02",7200
"2008","0.4","0.3","0.01",256670
"2008","0.4","0.3","0.02",9700
"2008","0.4","0.4","0.01",238851
"2008","0.4","0.5","0.01",67195
"2008","0.4","0.6","0.01",35499
"2009","0.1","0.1","0.01",980966
"2009","0.1","0.1","0.02",2000
"2009","0.1","0.2","0.01",1377029
"2009","0.1","0.2","0.02",1500
"2009","0.1","0.3","0.01",757420
"2009","0.1","0.3","0.02",3300
"2009","0.1","0.4","0.01",217407
"2009","0.1","0.5","0.01",18500
"2009","0.1","0.6","0.01",4600
"2009","0.2","0.1","0.01",337875
"2009","0.2","0.1","0.02",1650
"2009","0.2","0.2","0.01",759027
"2009","0.2","0.3","0.01",358515
"2009","0.2","0.4","0.01",194997
"2009","0.2","0.5","0.01",61020
"2009","0.2","0.6","0.01",39150
"2009","0.3","0.1","0.01",241613
"2009","0.3","0.2","0.01",413022
"2009","0.3","0.3","0.01",372900
"2009","0.3","0.3","0.02",5500
"2009","0.3","0.4","0.01",172150
"2009","0.3","0.5","0.01",50450
"2009","0.3","0.6","0.01",17050
"2009","0.4","0.1","0.01",102826
"2009","0.4","0.2","0.01",178260
"2009","0.4","0.3","0.01",97610
"2009","0.4","0.4","0.01",70850
"2009","0.4","0.5","0.01",17600
"2009","0.4","0.6","0.01",8100
"2010","0.1","0.1","0.01",3137746
"2010","0.1","0.1","0.02",41500
"2010","0.1","0.2","0.01",3057119
"2010","0.1","0.2","0.02",10000
"2010","0.1","0.3","0.01",1030529
"2010","0.1","0.3","0.02",15000
"2010","0.1","0.4","0.01",510550
"2010","0.1","0.4","0.02",5500
"2010","0.1","0.5","0.01",75803
"2010","0.1","0.6","0.01",87700
"2010","0.2","0.1","0.01",1199132
