Data;Segmento;Empresa;GrupoProblema;Ocorrências
2015;Administradoras de Consórcios;BB Consórcios;Atendimento / SAC;4
2015;Administradoras de Consórcios;BB Consórcios;Cobrança / Contestação;15
2015;Administradoras de Consórcios;BB Consórcios;Contrato / Oferta;5
2015;Administradoras de Consórcios;BB Consórcios;Entrega do Produto;1
2015;Administradoras de Consórcios;BB Consórcios;Informação;1
2015;Administradoras de Consórcios;Bradesco Consórcio;Atendimento / SAC;12
2015;Administradoras de Consórcios;Bradesco Consórcio;Cobrança / Contestação;52
2015;Administradoras de Consórcios;Bradesco Consórcio;Contrato / Oferta;19
2015;Administradoras de Consórcios;Bradesco Consórcio;Entrega do Produto;3
2015;Administradoras de Consórcios;Bradesco Consórcio;Informação;1
2015;Administradoras de Consórcios;Bradesco Consórcio;Vício de Qualidade;3
2015;Administradoras de Consórcios;Caixa Consórcios;Atendimento / SAC;23
2015;Administradoras de Consórcios;Caixa Consórcios;Cobrança / Contestação;19
2015;Administradoras de Consórcios;Caixa Consórcios;Contrato / Oferta;6
2015;Administradoras de Consórcios;Caixa Consórcios;Entrega do Produto;12
2015;Administradoras de Consórcios;Caixa Consórcios;Informação;4
2015;Administradoras de Consórcios;Consórcio Fiat;Atendimento / SAC;6
2015;Administradoras de Consórcios;Consórcio Fiat;Cobrança / Contestação;32
2015;Administradoras de Consórcios;Consórcio Fiat;Contrato / Oferta;5
2015;Administradoras de Consórcios;Consórcio Fiat;Entrega do Produto;1
2015;Administradoras de Consórcios;Consórcio Fiat;Informação;3
2015;Administradoras de Consórcios;Consórcio Fiat;Vício de Qualidade;1
2015;Administradoras de Consórcios;Consórcio Luiza;Atendimento / SAC;1
2015;Administradoras de Consórcios;Consórcio Luiza;Cobrança / Contestação;8
2015;Administradoras de Consórcios;Consórcio Luiza;Contrato / Oferta;2
2015;Administradoras de Consórcios;Consórcio Luiza;Entrega do Produto;3
2015;Administradoras de Consórcios;Consórcio Realiza;Cobrança / Contestação;5
2015;Administradoras de Consórcios;Consórcio Realiza;Contrato / Oferta;7
2015;Administradoras de Consórcios;Consórcio Unilance;Cobrança / Contestação;3
2015;Administradoras de Consórcios;Consórcio Unilance;Entrega do Produto;2
2015;Administradoras de Consórcios;Itaú Consórcio;Atendimento / SAC;31
2015;Administradoras de Consórcios;Itaú Consórcio;Cobrança / Contestação;72
2015;Administradoras de Consórcios;Itaú Consórcio;Contrato / Oferta;27
2015;Administradoras de Consórcios;Itaú Consórcio;Entrega do Produto;14
2015;Administradoras de Consórcios;Itaú Consórcio;Informação;2
2015;Administradoras de Consórcios;Itaú Consórcio;Vício de Qualidade;1
2015;Administradoras de Consórcios;Mapfre Consórcios;Cobrança / Contestação;2
2015;Administradoras de Consórcios;Mapfre Consórcios;Contrato / Oferta;3
2015;Administradoras de Consórcios;Âncora Consórcios;Cobrança / Contestação;1
2015;Agências de Viagens;Americanas Viagens;Atendimento / SAC;1
2015;Agências de Viagens;Americanas Viagens;Cobrança / Contestação;5
2015;Agências de Viagens;Americanas Viagens;Contrato / Oferta;2
2015;Agências de Viagens;Americanas Viagens;Vício de Qualidade;1
2015;Agências de Viagens;Decolar.com;Atendimento / SAC;61
2015;Agências de Viagens;Decolar.com;Cobrança / Contestação;289
2015;Agências de Viagens;Decolar.com;Contrato / Oferta;243
2015;Agências de Viagens;Decolar.com;Informação;16
2015;Agências de Viagens;Decolar.com;Saúde e Segurança;3
2015;Agências de Viagens;Decolar.com;Vício de Qualidade;15
2015;Agências de Viagens;Flytour Viagens;Cobrança / Contestação;3
2015;Agências de Viagens;Flytour Viagens;Contrato / Oferta;1
2015;Agências de Viagens;Submarino Viagens;Atendimento / SAC;44
2015;Agências de Viagens;Submarino Viagens;Cobrança / Contestação;130
2015;Agências de Viagens;Submarino Viagens;Contrato / Oferta;80
2015;Agências de Viagens;Submarino Viagens;Informação;3
2015;Agências de Viagens;Submarino Viagens;Vício de Qualidade;7
2015;Agências de Viagens;TAM Viagens;Atendimento / SAC;5
2015;Agências de Viagens;TAM Viagens;Cobrança / Contestação;27
2015;Agências de Viagens;TAM Viagens;Contrato / Oferta;40
2015;Agências de Viagens;TAM Viagens;Entrega do Produto;1
2015;Agências de Viagens;TAM Viagens;Informação;3
2015;Agências de Viagens;TAM Viagens;Vício de Qualidade;2
2015;Agências de Viagens;ViajaNet;Atendimento / SAC;7
2015;Agências de Viagens;ViajaNet;Cobrança / Contestação;29
2015;Agências de Viagens;ViajaNet;Contrato / Oferta;22
2015;Agências de Viagens;ViajaNet;Informação;2
2015;Agências de Viagens;ViajaNet;Vício de Qualidade;1
2015;Artigos Esportivos;Centauro;Atendimento / SAC;7
2015;Artigos Esportivos;Centauro;Cobrança / Contestação;15
2015;Artigos Esportivos;Centauro;Contrato / Oferta;10
2015;Artigos Esportivos;Centauro;Entrega do Produto;7
2015;Artigos Esportivos;Centauro;Saúde e Segurança;5
2015;Artigos Esportivos;Centauro;Vício de Qualidade;19
2015;Artigos Esportivos;Procorrer;Entrega do Produto;2
2015;Artigos Esportivos;Procorrer;Saúde e Segurança;1
2015;Bancos de Dados e Cadastros de Consumidores;Boa Vista Serviços - SCPC (Serviço Central de Proteção ao Crédito);Cobrança / Contestação;68
2015;Bancos de Dados e Cadastros de Consumidores;Boa Vista Serviços - SCPC (Serviço Central de Proteção ao Crédito);Contrato / Oferta;36
2015;Bancos de Dados e Cadastros de Consumidores;Boa Vista Serviços - SCPC (Serviço Central de Proteção ao Crédito);Informação;73
2015;Bancos de Dados e Cadastros de Consumidores;CDL Porto Alegre;Cobrança / Contestação;3
2015;Bancos de Dados e Cadastros de Consumidores;Serasa Experian;Cobrança / Contestação;151
2015;Bancos de Dados e Cadastros de Consumidores;Serasa Experian;Contrato / Oferta;86
2015;Bancos de Dados e Cadastros de Consumidores;Serasa Experian;Informação;100
2015;Bancos, Financeiras e Administradoras de Cartão;American Express - Amex;Atendimento / SAC;63
2015;Bancos, Financeiras e Administradoras de Cartão;American Express - Amex;Cobrança / Contestação;281
2015;Bancos, Financeiras e Administradoras de Cartão;American Express - Amex;Contrato / Oferta;55
2015;Bancos, Financeiras e Administradoras de Cartão;American Express - Amex;Entrega do Produto;2
2015;Bancos, Financeiras e Administradoras de Cartão;American Express - Amex;Informação;7
2015;Bancos, Financeiras e Administradoras de Cartão;American Express - Amex;Vício de Qualidade;27
2015;Bancos, Financeiras e Administradoras de Cartão;BCV;Atendimento / SAC;1
2015;Bancos, Financeiras e Administradoras de Cartão;BCV;Cobrança / Contestação;6
2015;Bancos, Financeiras e Administradoras de Cartão;BCV;Contrato / Oferta;1
2015;Bancos, Financeiras e Administradoras de Cartão;BCV;Vício de Qualidade;4
2015;Bancos, Financeiras e Administradoras de Cartão;BV Financeira;Atendimento / SAC;79
2015;Bancos, Financeiras e Administradoras de Cartão;BV Financeira;Cobrança / Contestação;748
2015;Bancos, Financeiras e Administradoras de Cartão;BV Financeira;Contrato / Oferta;57
2015;Bancos, Financeiras e Administradoras de Cartão;BV Financeira;Entrega do Produto;1
2015;Bancos, Financeiras e Administradoras de Cartão;BV Financeira;Informação;7
2015;Bancos, Financeiras e Administradoras de Cartão;BV Financeira;Vício de Qualidade;51
2015;Bancos, Financeiras e Administradoras de Cartão;BV Leasing;Atendimento / SAC;1
2015;Bancos, Financeiras e Administradoras de Cartão;BV Leasing;Cobrança / Contestação;24
2015;Bancos, Financeiras e Administradoras de Cartão;BV Leasing;Contrato / Oferta;3
2015;Bancos, Financeiras e Administradoras de Cartão;Banco BMG;Atendimento / SAC;118
2015;Bancos, Financeiras e Administradoras de Cartão;Banco BMG;Cobrança / Contestação;422
2015;Bancos, Financeiras e Administradoras de Cartão;Banco BMG;Contrato / Oferta;96
2015;Bancos, Financeiras e Administradoras de Cartão;Banco BMG;Informação;9
2015;Bancos, Financeiras e Administradoras de Cartão;Banco BMG;Vício de Qualidade;137
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Bradesco;Atendimento / SAC;421
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Bradesco;Cobrança / Contestação;1857
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Bradesco;Contrato / Oferta;198
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Bradesco;Entrega do Produto;3
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Bradesco;Informação;24
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Bradesco;Saúde e Segurança;8
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Bradesco;Vício de Qualidade;262
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Cifra;Atendimento / SAC;6
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Cifra;Cobrança / Contestação;50
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Cifra;Contrato / Oferta;5
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Cifra;Informação;1
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Cifra;Vício de Qualidade;6
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Fiat;Atendimento / SAC;8
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Fiat;Cobrança / Contestação;53
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Fiat;Contrato / Oferta;2
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Fiat;Vício de Qualidade;2
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Intermedium;Atendimento / SAC;10
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Intermedium;Cobrança / Contestação;40
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Intermedium;Contrato / Oferta;6
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Intermedium;Vício de Qualidade;18
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Itaú Unibanco;Atendimento / SAC;659
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Itaú Unibanco;Cobrança / Contestação;3600
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Itaú Unibanco;Contrato / Oferta;279
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Itaú Unibanco;Entrega do Produto;2
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Itaú Unibanco;Informação;49
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Itaú Unibanco;Saúde e Segurança;15
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Itaú Unibanco;Vício de Qualidade;368
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Pan (Panamericano);Atendimento / SAC;123
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Pan (Panamericano);Cobrança / Contestação;767
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Pan (Panamericano);Contrato / Oferta;119
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Pan (Panamericano);Entrega do Produto;6
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Pan (Panamericano);Informação;10
2015;Bancos, Financeiras e Administradoras de Cartão;Banco Pan (Panamericano);Vício de Qualidade;258
