Data;Segmento;Empresa;GrupoProblema;Ocorrências
2018-06;Vestuário, Calçados e Têxteis;Malwee;Atendimento / SAC;1
2018-06;Vestuário, Calçados e Têxteis;Malwee;Vício de Qualidade;1
2018-06;Varejo;Bemol;Atendimento / SAC;1
2018-06;Varejo;Bemol;Cobrança / Contestação;3
2018-06;Varejo;Bemol;Contrato / Oferta;1
2018-06;Varejo;Bemol;Informação;1
2018-06;Varejo;Bemol;Saúde e Segurança;1
2018-06;Varejo;Bemol;Vício de Qualidade;2
2018-06;Varejo;Casas Bahia;Atendimento / SAC;24
2018-06;Varejo;Casas Bahia;Cobrança / Contestação;83
2018-06;Varejo;Casas Bahia;Contrato / Oferta;43
2018-06;Varejo;Casas Bahia;Entrega do Produto;30
2018-06;Varejo;Casas Bahia;Informação;11
2018-06;Varejo;Casas Bahia;Saúde e Segurança;3
2018-06;Varejo;Casas Bahia;Vício de Qualidade;39
2018-06;Varejo;City Lar;Atendimento / SAC;1
2018-06;Varejo;City Lar;Cobrança / Contestação;4
2018-06;Varejo;Coop Cooperativa de Consumo;Contrato / Oferta;1
2018-06;Varejo;Eletro Shopping;Cobrança / Contestação;1
2018-06;Varejo;Eletro Shopping;Contrato / Oferta;1
2018-06;Varejo;Fast Shop;Atendimento / SAC;3
2018-06;Varejo;Fast Shop;Cobrança / Contestação;1
2018-06;Varejo;Fast Shop;Contrato / Oferta;13
2018-06;Varejo;Fast Shop;Entrega do Produto;4
2018-06;Varejo;Fast Shop;Informação;3
2018-06;Varejo;Fast Shop;Vício de Qualidade;1
2018-06;Varejo;Ibyte;Contrato / Oferta;1
2018-06;Varejo;Ibyte;Entrega do Produto;1
2018-06;Varejo;Insinuante;Vício de Qualidade;1
2018-06;Varejo;Livraria Cultura;Atendimento / SAC;3
2018-06;Varejo;Livraria Cultura;Cobrança / Contestação;5
2018-06;Varejo;Livraria Cultura;Contrato / Oferta;1
2018-06;Varejo;Livraria Cultura;Entrega do Produto;3
2018-06;Varejo;Livraria Cultura;Vício de Qualidade;1
2018-06;Varejo;Lojas Americanas;Atendimento / SAC;5
2018-06;Varejo;Lojas Americanas;Cobrança / Contestação;7
2018-06;Varejo;Lojas Americanas;Contrato / Oferta;5
2018-06;Varejo;Lojas Americanas;Entrega do Produto;1
2018-06;Varejo;Lojas Americanas;Informação;2
2018-06;Varejo;Lojas Americanas;Saúde e Segurança;2
2018-06;Varejo;Lojas Americanas;Vício de Qualidade;13
2018-06;Varejo;Lojas Becker;Vício de Qualidade;6
2018-06;Varejo;Lojas Colombo;Cobrança / Contestação;2
2018-06;Varejo;Lojas Colombo;Contrato / Oferta;1
2018-06;Varejo;Lojas Colombo;Entrega do Produto;5
2018-06;Varejo;Lojas Colombo;Vício de Qualidade;10
2018-06;Varejo;Lojas Koerich;Cobrança / Contestação;2
2018-06;Varejo;Lojas Koerich;Contrato / Oferta;3
2018-06;Varejo;Lojas Koerich;Vício de Qualidade;1
2018-06;Varejo;Lojas Lebes;Atendimento / SAC;3
2018-06;Varejo;Lojas Lebes;Cobrança / Contestação;4
2018-06;Varejo;Lojas Lebes;Entrega do Produto;1
2018-06;Varejo;Lojas Lebes;Vício de Qualidade;4
2018-06;Varejo;Lojas Quero-Quero;Cobrança / Contestação;7
2018-06;Varejo;Lojas Quero-Quero;Entrega do Produto;1
2018-06;Varejo;Lojas Quero-Quero;Informação;1
2018-06;Varejo;Lojas Quero-Quero;Vício de Qualidade;2
2018-06;Varejo;Lojas Salfer;Atendimento / SAC;3
2018-06;Varejo;Lojas Salfer;Contrato / Oferta;1
