Data;Segmento;GrupoProblema;Ocorrências
2018-05;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;10707
2018-06;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;10411
2018-06;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;10251
2018-04;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;10091
2018-03;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;10072
2017-08;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;10004
2017-11;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;9726
2017-09;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;9552
2017-10;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;9489
2018-01;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;9253
2017-05;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;9219
2017-12;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;9208
2018-02;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;9058
2017-06;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;8998
2017-07;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;8819
2017-06;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;8434
2017-07;Bancos de Dados e Cadastros de Consumidores;Informação;8225
2018-05;Bancos de Dados e Cadastros de Consumidores;Informação;7799
2017-04;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;7712
2017-03;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;7495
2018-05;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;7475
2017-06;Bancos de Dados e Cadastros de Consumidores;Informação;7203
2018-06;Bancos de Dados e Cadastros de Consumidores;Informação;7123
2016-08;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;6762
2016-07;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;6515
2016-06;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;6401
2017-08;Bancos de Dados e Cadastros de Consumidores;Informação;6362
2016-05;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;6281
2016-06;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;6243
2018-04;Bancos, Financeiras e Administradoras de Cartão;Cobrança / Contestação;6087
2017-05;Bancos de Dados e Cadastros de Consumidores;Informação;6067
2016-09;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Cobrança / Contestação;6055
2018-03;Bancos de Dados e Cadastros de Consumidores;Informação;5898
